Parola,Frequenza,Lingua
very,553472,EN
such,553101,EN
juventusnews,552410,IT
life,552134,EN
made,550266,EN
down,547830,EN
comune,547629,IT
high,543481,EN
quello,543333,IT
need,541270,EN
law,541075,EN
home,538746,EN
sui,536487,IT
ogni,535202,IT
world,534230,EN
don,534012,EN
giorno,533784,IT
help,533105,EN
dalle,531709,IT
president,522653,EN
city,522178,EN
governo,519323,IT
diretta,518100,IT
told,516755,EN
legge,512524,IT
week,503497,EN
old,502817,EN
enne,502275,IT
around,501635,EN
going,500946,EN
pasqua,496474,IT
want,495707,EN
between,495256,EN
much,495098,EN
use,493594,EN
caso,493567,IT
including,492287,EN
still,488896,EN
deal,482600,EN
calciomercato,477673,IT
support,477429,EN
care,473959,EN
lanazione,473786,IT
market,473444,EN
family,470090,EN
centro,469816,IT
good,469425,EN
local,466150,EN
think,465222,EN
right,463260,EN
fine,460375,IT
regione,456721,IT
house,456364,EN
sta,456310,IT
fino,456208,IT
mila,455176,IT
since,454676,EN
maggio,452032,IT
dello,451109,IT
country,449660,EN
under,448973,EN
juve,448767,IT
court,448150,EN
say,447712,EN
against,446972,EN
part,445436,EN
altri,445335,IT
long,443550,EN
notizie,443004,IT
molto,440973,IT
best,440242,EN
both,439364,EN
million,438577,EN
did,437385,EN
quella,436365,IT
report,436135,EN
found,434834,EN
information,431140,EN
fanpage,428553,IT
perché,428036,IT
dati,425089,IT
company,422843,EN
children,422214,EN
aveva,421952,IT
abbiamo,421863,IT
agli,421384,IT
ilrestodelcarlino,419750,IT
january,414315,EN
storia,413285,IT
man,410487,EN
sulle,408038,IT
services,406108,EN
proprio,405473,IT
mentre,404994,IT
another,404888,EN
service,404649,EN
video,404385,IT
tutte,404245,IT
nazionale,402726,IT
sabato,402714,IT
notizia,402290,IT
milioni,400358,IT
every,400267,EN
business,400186,EN
già,398388,IT
domenica,395762,IT
durante,393123,IT
number,392913,EN
bologna,391064,IT
according,390863,EN
show,388618,EN
brexit,387883,EN
hospital,384969,EN
oasport,383849,IT
ilgiorno,383653,IT
finale,377260,IT
next,375929,EN
morte,375415,IT
national,374079,EN
può,373936,IT
adnkronos,373789,IT
group,373161,EN
really,372683,EN
county,372114,EN
place,372053,EN
ieri,370222,IT
altro,369614,IT
republic,368730,EN
own,367624,EN
torna,366107,IT
ultima,366001,IT
end,365117,EN
sicurezza,362713,IT
mai,361515,IT
free,360553,EN
auto,358315,IT
piazza,357769,IT
scuola,357716,IT
dazi,357258,IT
corso,356645,IT
sarà,356418,IT
servizio,356274,IT
sarã,355774,IT
community,354478,EN
volta,354179,IT
without,353775,EN
mesi,352826,IT
com,352697,EN
momento,352359,IT
today,351825,EN
leggi,349827,IT
news,349358,IT
across,349130,EN
usa,348169,IT
same,347976,EN
così,347291,IT
futuro,346620,IT
ospedale,346438,IT
too,345690,EN
come,344766,EN
medical,344073,EN
used,343261,EN
sindaco,342616,IT
siamo,342090,IT
qui,341693,IT
set,341667,EN
the,341249,IT
why,341143,EN
data,339049,EN
based,338516,EN
however,336747,EN
polizia,335526,IT
redazione,334575,IT
consiglio,334303,IT
left,334278,EN
progetto,333939,IT
aver,331604,IT
system,331448,EN
questi,331395,IT
women,331103,EN
office,329633,EN
case,329225,EN
sport,328120,IT
posto,327823,IT
vote,326930,EN
salute,326495,IT
called,324648,EN
road,324283,EN
quale,323984,IT
states,323657,EN
strada,323539,IT
former,323447,EN
rispetto,322906,IT
working,322823,EN
never,321430,EN
party,320834,EN
regionale,319597,IT
days,319256,EN
money,318654,EN
find,318500,EN
morto,317783,IT
verso,316178,IT
change,315825,EN
film,314908,IT
uomo,314169,IT
pubblico,313278,IT
città,312616,IT
lazio,312481,IT
live,311901,EN
food,311479,EN
sotto,310832,IT
programma,310373,IT
alcuni,309853,IT
look,309844,EN
each,308940,EN
months,308875,EN
cittã,308750,IT
politica,308029,IT
got,307234,EN
negli,306624,IT
election,306482,EN
moment,304754,EN
university,304591,EN
per,304379,EN
incidente,303960,IT
things,302910,EN
media,302804,EN
nostro,302023,IT
social,300862,EN
does,300850,EN
four,300131,EN
territorio,299601,IT
stagione,298160,IT
put,298154,EN
cittadini,297237,IT
second,296897,EN
added,296770,EN
five,296340,EN
provincia,296333,IT
articolo,295293,IT
times,295120,EN
modo,294209,IT
better,293059,EN
insieme,292343,IT
noi,291834,IT
top,291327,EN
detto,291303,IT
grazie,291037,IT
rai,290947,IT
cancer,289409,EN
great,289009,EN
staff,287638,EN
council,287010,EN
poco,286378,IT
must,285392,EN
members,285208,EN
plan,285083,EN
perchã,284790,IT
something,284579,EN
pay,284503,EN
juventus,282869,IT
parole,282381,IT
month,281813,EN
quindi,281808,IT
area,281278,EN
punto,281272,IT
settimana,280805,IT
meno,280527,IT
percent,280446,EN
piano,280306,IT
investigation,279844,EN
invece,279433,IT
ministro,279282,IT
research,279220,EN
quali,277938,IT
sull,277388,IT
carabinieri,276321,IT
north,275883,EN
full,275346,EN
students,274970,EN
federal,274616,EN
donna,274368,IT
department,274215,EN
torino,274206,IT
notte,273962,IT
possibile,273922,IT
sfida,273867,IT
future,273670,EN
allo,273339,IT
cosã,271206,IT
vista,270720,IT
following,270700,EN
making,270466,EN
having,270293,EN
potrebbe,269739,IT
arriva,269721,IT
big,269384,EN
team,268903,EN
paese,268843,IT
later,268555,EN
open,268024,EN
again,267878,EN
giovani,267239,IT
night,266299,EN
until,265812,EN
might,265559,EN
circa,265308,IT
woman,264796,EN
whether,263538,EN
patients,263292,EN
nuovi,263260,IT
keep,263198,EN
attività,263191,IT
puã²,262972,IT
different,262612,EN
servizi,262433,IT
suoi,261272,IT
board,261265,EN
little,260943,EN
infatti,260762,IT
jan,260674,EN
saranno,260514,IT
puntata,260110,IT
young,259849,EN
amici,259660,IT
few,259328,EN
giã,259057,IT
partita,258908,IT
meloni,258800,IT
lavori,258695,IT
already,258461,EN
repubblica,258357,IT
always,257606,EN
paolo,257583,IT
political,256909,EN
incontro,256889,IT
general,256831,EN
sarebbe,256679,IT
bus,256577,EN
bene,256539,IT
successo,255576,IT
tax,255531,EN
lot,255314,EN
nostra,254309,IT
due,254130,EN
took,252720,EN
united,252611,EN
away,252509,EN
quattro,252321,IT
campo,251852,IT
possono,251435,IT
south,251281,EN
cercando,250846,IT
april,250811,EN
famiglia,250599,IT
car,249483,EN
lui,249316,IT
important,249224,EN
avere,248514,IT
gruppo,248279,IT
deve,248016,IT
able,247525,EN
câã,247152,IT
europa,247053,IT
call,246733,EN
scorso,246292,IT
nuove,245674,IT
didn,245585,EN
comunale,245521,IT
italiano,244329,IT
seen,243926,EN
power,243880,EN
american,243495,EN
train,242599,EN
far,242547,EN
sei,241950,IT
maria,241320,IT
altre,240926,IT
give,240819,EN
street,240400,EN
funerali,239976,IT
using,239919,EN
york,239259,EN
read,238687,EN
early,238641,EN
conte,238504,IT
presso,238338,IT
global,238035,EN
story,238013,EN
published,237911,EN
looking,237416,EN
fuori,237352,IT
guerra,237201,IT
quasi,237006,IT
person,236029,EN
tutta,236012,IT
sera,235579,IT
soprattutto,234570,IT
lungo,233917,IT
industry,232112,EN
seconda,231805,IT
risk,231725,EN
past,231383,EN
lunedã,231319,IT
less,231284,EN
london,231106,EN
match,230978,IT
donne,230630,IT
taken,230586,EN
start,230339,EN
rischio,230149,IT
run,230101,EN
access,229999,EN
others,229997,EN
aggiornata,229953,IT
clean,229781,EN
real,229404,EN
within,229059,EN
importante,228935,IT
occasione,228691,IT
getting,228304,EN
stesso,227952,IT
teatro,227569,IT
queste,227557,IT
firenze,227286,IT
education,226449,EN
viene,226025,IT
lapresse,225903,IT
richiesta,225718,IT
available,225567,EN
stai,225463,IT
taking,225262,EN
latest,224885,EN
champions,224779,IT
process,224294,EN
league,223512,IT
edizione,223410,IT
attraverso,223326,IT
sistema,222721,IT
accordo,222153,IT
campaign,221885,EN
provide,221525,EN
among,221257,EN
fra,221221,IT
subito,221082,IT
continue,220972,EN
air,220217,EN
six,219546,EN
become,219446,EN
security,219409,EN
numero,219336,IT
director,219327,EN
salvini,219233,IT
issues,219184,EN
cinque,218516,IT
qualche,218253,IT
december,218078,EN
death,217487,EN
italiana,217324,IT
further,216887,EN
social,216631,IT
asked,216539,EN
bambini,216364,IT
several,216282,EN
feel,216204,EN
given,216059,EN
mattina,215968,IT
decreto,215889,IT
interno,215878,IT
ultimi,215856,IT
point,215627,EN
yet,215460,EN
ultimo,215430,IT
hours,215332,EN
center,215280,EN
schools,214991,EN
minister,214975,EN
visto,214871,IT
friday,214618,EN
lega,214258,IT
pronto,214210,IT
santa,213901,IT
love,213687,EN
quel,213327,IT
erano,213095,IT
particolare,213004,IT
mediaset,212732,IT
foto,212429,IT
internews,212424,IT
went,212387,EN
came,212349,EN
far,211892,IT
mercato,211853,IT
raggiungibile,211845,IT
vittoria,211782,IT
career,211643,EN
control,211612,EN
diritto,211441,IT
mese,211391,IT
ever,211091,EN
pomeriggio,210814,IT
condizioni,210642,IT
personale,210577,IT
white,210445,EN
continua,210250,IT
situazione,210105,IT
base,209852,IT
likely,209683,EN
causa,209621,IT
companies,209539,EN
together,209534,EN
donald,209293,IT
ritorno,209186,IT
once,209133,EN
seguito,208985,IT
post,208971,EN
bill,208601,EN
doing,208264,EN
domani,208041,IT
bayern,207857,IT
festa,206841,IT
italiani,206238,IT
monday,206201,EN
often,205815,EN
decision,205492,EN
direttore,205345,IT
segno,205227,IT
pianetamilan,205184,IT
stampa,204875,IT
won,204305,EN
small,203840,EN
dato,203769,IT
guida,203589,IT
international,203494,EN
least,203367,EN
officials,203127,EN
leave,202916,EN
state,202818,IT
reported,202208,EN
dire,202078,IT
madrid,201861,IT
experience,200662,EN
financial,200598,EN
head,200443,EN
term,200255,EN
almeno,200201,IT
possible,199911,EN
sue,199883,IT
child,199865,EN
comes,199831,EN
calcionews,199721,IT
cultura,199254,IT
febbraio,199140,IT
major,199101,EN
body,199041,EN
giovane,198827,IT
west,198730,EN
tuesday,198474,EN
disease,197732,EN
dice,197705,IT
online,197562,EN
però,197556,IT
recent,197467,EN
needs,197328,EN
rights,197263,EN
scena,197149,IT
order,196888,EN
online,196884,IT
hard,196841,EN
ultime,196814,IT
policy,196600,EN
justice,196366,EN
viaggio,196086,IT
pietro,196032,IT
face,195873,EN
cost,195503,EN
intervento,195453,IT
study,195441,EN
twitter,194821,EN
thing,194754,EN
plans,194693,EN
march,194668,EN
mia,194490,IT
fuoco,194427,IT
doesn,194320,EN
parma,194153,IT
act,194083,EN
dagli,194003,IT
cina,193841,IT
morning,193781,EN
men,193688,EN
clear,193656,EN
generale,193628,IT
include,193370,EN
let,193177,EN
video,193156,EN
shutdown,192933,EN
studenti,192324,IT
water,192139,EN
visit,191405,EN
expected,191286,EN
elezioni,191134,IT
tratta,190990,IT
known,190988,EN
development,190969,EN
serata,190843,IT
share,190728,EN
job,190152,EN
star,189820,EN
move,189457,EN
current,189152,EN
member,189137,EN
ucraina,189069,IT
mio,189039,IT
diritti,188848,IT
program,188669,EN
webmagazine,188489,IT
stop,188414,EN
parents,188039,EN
enough,188028,EN
pubblica,188005,IT
growth,187866,EN
along,187759,EN
sede,187541,IT
parlato,187516,IT
though,187267,EN
commissione,187147,IT
line,187146,EN
done,187043,EN
issue,186954,EN
porta,186865,IT
black,186661,EN
project,186389,EN
tanto,186349,IT
gara,186127,IT
district,186114,EN
legal,186094,EN
carlo,185807,IT
cases,185569,EN
action,185237,EN
saying,185191,EN
chief,184867,EN
venerdã,184839,IT
statement,184812,EN
believe,184322,EN
marco,184006,IT
avrebbe,183956,IT
forward,183944,EN
results,183767,EN
china,183553,EN
alcune,183481,IT
dicembre,182958,IT
technology,182789,EN
park,182785,EN
col,182752,IT
non,182723,EN
cuore,182666,IT
shows,182611,EN
amministrazione,182610,IT
studio,182490,IT
meeting,182409,EN
means,181856,EN
vuole,181691,IT
ordine,181637,IT
key,181625,EN
quelli,181624,IT
comuni,181329,IT
grandi,181249,IT
weeks,181144,EN
arrestato,181099,IT
forte,181036,IT
barcellona,180984,IT
bilancio,180984,IT
inzaghi,180609,IT
figlio,180508,IT
forza,180470,IT
venezia,180188,IT
sure,180079,EN
ilmanifesto,180022,IT
lecce,179927,IT
labour,179735,EN
history,179678,EN
palazzo,179098,IT
ago,178972,EN
mental,178949,EN
british,178943,EN
fact,178886,EN
outside,178815,EN
facebook,178809,EN
thursday,178574,EN
uomini,178493,IT
rete,178216,IT
corte,178203,IT
parla,178190,IT
davanti,178070,IT
uniti,178035,IT
eventi,177517,IT
prime,177484,IT
follow,177113,EN
ricerca,177110,IT
energy,177052,EN
pochi,176769,IT
increase,176682,EN
lâinter,176592,IT
event,176508,EN
age,176388,EN
mistermovie,176311,IT
series,176068,EN
building,175623,EN
attesa,175387,IT
special,175261,EN
antonio,175157,IT
impact,175103,EN
announced,175103,EN
treatment,174979,EN
primi,174908,IT
linea,174838,IT
workers,174777,EN
related,174551,EN
data,174286,IT
funding,174048,EN
ragazzi,173991,IT
washington,173905,EN
musica,173600,IT
behind,173316,EN
associazione,173265,IT
east,172994,EN
terzo,172642,IT
monaco,172641,IT
prossimo,172507,IT
mother,172395,EN
persona,172342,IT
zona,172241,IT
oroscopo,172087,IT
level,171553,EN
ben,171345,IT
avanti,171269,IT
close,170623,EN
scelta,170602,IT
molti,170579,IT
daily,170559,EN
thesocialpost,170543,IT
union,170501,EN
agi,170200,IT
article,169981,EN
started,169883,EN
coming,169738,EN
european,169466,EN
makes,169405,EN
leader,169350,EN
giovanni,169286,IT
role,169092,EN
despite,169035,EN
reports,168837,EN
sociale,168825,IT
someone,168817,EN
vedere,168732,IT
wednesday,168683,EN
result,168629,EN
festival,168501,IT
scuole,168422,IT
hit,168068,EN
side,168037,EN
products,167964,EN
ormai,167381,IT
trying,167221,EN
apr,167220,IT
sunday,167157,EN
marzo,167061,IT
human,167059,EN
held,167038,EN
america,166895,EN
low,166685,EN
previsioni,166609,IT
third,166467,EN
società,166430,IT
half,166411,EN
committee,166375,EN
try,166370,EN
appuntamento,166367,IT
safety,166290,EN
civile,165960,IT
anyone,165839,EN
everyone,165566,EN
quelle,165226,IT
ruolo,165207,IT
volte,165134,IT
monza,164968,IT
border,164567,EN
everything,164444,EN
changes,164362,EN
spettacolo,164222,IT
ministero,164199,IT
calcio,164187,IT
mostra,164164,IT
punti,164156,IT
democratic,163948,EN
percorso,163947,IT
john,163811,EN
nome,163594,IT
medici,163529,IT
mps,163112,EN
omicidio,163076,IT
near,162836,EN
coppa,162669,IT
